Oxidized X GFP2	Oxidized Y GFP 2	Reduced X GFP2	Reduced Y GFP2	Oxidized X GFP 1	Oxidized Y GFP 1	Reduced X GFP 1	Reduced Y GFP 1
		502.4680098	108.5389154	428.1632653	0.314922049	386.4139942	0.582182628
		502.9294758	104.7404735	428.3965015	0.300222717	387.3469388	0.584855234
		503.3909418	100.9420315	429.0962099	0.284187082	388.2798834	0.588864143
		503.7012777	96.63757935	429.5626822	0.272160356	389.4460641	0.592873051
		504.4665421	92.83849652	429.5626822	0.257461024	390.3790087	0.59688196
		504.9253162	90.81221218	430.2623907	0.240089087	391.7784257	0.602227171
				431.1953353	0.225389755	392.9446064	0.604899777
				431.8950437	0.214699332	394.3440233	0.60623608
				432.361516	0.204008909	394.5772595	0.604899777
				432.8279883	0.191982183	396.6763848	0.604899777
				433.2944606	0.179955457	397.6093294	0.60623608
				433.7609329	0.166592428	398.5422741	0.607572383
				434.6938776	0.155902004	399.7084548	0.602227171
				435.6268222	0.145211581	400.8746356	0.598218263
				436.7930029	0.130512249	401.3411079	0.595545657
				437.4927114	0.121158129	402.0408163	0.591536748
				438.1924198	0.109131403	403.4402332	0.586191537
				439.5918367	0.099777283	403.9067055	0.582182628
				440.9912536	0.091759465	404.3731778	0.576837416
				442.6239067	0.086414254	405.3061224	0.571492205
				444.4897959	0.079732739	406.2390671	0.566146993
				446.5889213	0.078396437	406.7055394	0.563474388
				449.6209913	0.079732739	407.638484	0.558129176
				451.2536443	0.079732739	408.3381924	0.554120267
				453.5860058	0.079732739	409.271137	0.54610245
				455.6851312	0.082405345	409.7376093	0.542093541
				457.7842566	0.085077951	410.6705539	0.535412027
				460.3498542	0.087750557	411.3702624	0.528730512
				462.6822157	0.090423163	411.6034985	0.524721604
				464.548105	0.091759465	411.6034985	0.524721604
				466.6472303	0.094432071	412.303207	0.518040089
				468.7463557	0.09844098	412.7696793	0.511358575
				471.3119534	0.099777283	413.4693878	0.502004454
				472.7113703	0.101113586	413.7026239	0.49532294
				475.0437318	0.101113586	414.4023324	0.491314031
				478.0758017	0.099777283	415.1020408	0.483296214
				481.3411079	0.09844098	415.5685131	0.476614699
				483.4402332	0.095768374	416.0349854	0.471269488
				485.5393586	0.091759465	417.2011662	0.46325167
				487.638484	0.087750557	417.6676385	0.459242762
				489.5043732	0.081069042	418.1341108	0.452561247
				492.0699708	0.074387528	419.3002915	0.443207127
				493.7026239	0.067706013	419.7667638	0.437861915
				495.335277	0.062360802	420	0.433853007
				497.4344023	0.05701559	420.6997085	0.428507795
				498.6005831	0.051670379	421.3994169	0.421826281
				500.2332362	0.046325167	421.8658892	0.415144766
						422.3323615	0.409799555
						423.03207	0.40311804
						423.4985423	0.396436526
						423.9650146	0.387082405
						424.664723	0.377728285
						425.1311953	0.371046771
						425.3644315	0.368374165
						425.8309038	0.36169265
						426.0641399	0.353674833
						426.2973761	0.348329621
						426.9970845	0.340311804
						426.9970845	0.334966592
						427.4635569	0.328285078
						427.696793	0.320267261
						427.9300292	0.314922049
						428.1632653	0.309576837
						428.3965015	0.306904232
						429.0962099	0.304231626
						430.2623907	0.300222717
						430.728863	0.297550111
						431.6618076	0.293541203
						432.5947522	0.288195991
						433.0612245	0.286859688
						433.9941691	0.28285078
						435.1603499	0.278841871
						437.9591837	0.274832962
						438.1924198	0.274832962
						439.3586006	0.280178174
						439.8250729	0.280178174
						440.9912536	0.280178174
						441.4577259	0.280178174
						441.4577259	0.281514477
						442.3906706	0.286859688
						443.3236152	0.288195991
						444.0233236	0.290868597
						444.7230321	0.2922049
						446.122449	0.294877506
						446.8221574	0.297550111
						447.2886297	0.300222717
						449.154519	0.306904232
						450.0874636	0.31091314
						450.787172	0.313585746
						451.9533528	0.317594655
						452.6530612	0.320267261
						453.1195335	0.324276169
						454.0524781	0.329621381
						455.2186589	0.33363029
						456.1516035	0.337639198
						457.0845481	0.340311804
						458.0174927	0.34298441
						459.4169096	0.344320713
						460.3498542	0.346993318
						461.0495627	0.349665924
						461.9825073	0.35233853
						462.9154519	0.356347439
						463.8483965	0.359020045
						464.7813411	0.363028953
						465.7142857	0.368374165
						466.6472303	0.373719376
						467.5801749	0.377728285
						468.5131195	0.380400891
						469.4460641	0.3844098
						470.845481	0.385746102
						471.7784257	0.387082405
						472.9446064	0.388418708
						473.6443149	0.387082405
						475.2769679	0.381737194
						476.2099125	0.377728285
						476.6763848	0.375055679
						477.1428571	0.372383073
						477.3760933	0.371046771
						478.0758017	0.367037862
						478.5422741	0.360356347
						479.2419825	0.355011136
						479.941691	0.35233853
						480.4081633	0.349665924
						480.6413994	0.346993318
						481.1078717	0.344320713
						481.3411079	0.340311804
						481.8075802	0.337639198
						482.2740525	0.334966592
						482.7405248	0.329621381
						483.2069971	0.325612472
						483.6734694	0.320267261
						484.3731778	0.316258352
						485.0728863	0.308240535
						485.5393586	0.300222717
						486.0058309	0.294877506
						486.2390671	0.288195991
						486.2390671	0.285523385
						486.2390671	0.281514477
						486.9387755	0.274832962
						487.1720117	0.266815145
						487.4052478	0.261469933
						487.8717201	0.254788419
						488.5714286	0.246770601
						488.8046647	0.24142539
						489.271137	0.234743875
						490.2040816	0.226726058
						490.6705539	0.220044543
						491.1370262	0.213363029
						491.3702624	0.205345212
						491.8367347	0.195991091
						492.0699708	0.19064588
						492.0699708	0.185300668
						492.0699708	0.177282851
						492.5364431	0.173273942
						493.0029155	0.169265033
