"","R","residual","individual","type","lambda","experiment","location"
"86",1.31321116260262,0.022086855651155,"1","R",3.9,"tbuooh","medial_axis"
"87",1.33696856692633,-0.02975826543688,"1","R",3.9,"tbuooh","medial_axis"
"88",1.3239859500029,-0.006889661617651,"1","R",3.9,"tbuooh","medial_axis"
"89",1.322137941348,-0.026126775742432,"1","R",3.9,"tbuooh","medial_axis"
"90",1.33595799961855,0.020575551246201,"1","R",3.9,"tbuooh","medial_axis"
"91",1.35467201733163,-0.003853772506724,"1","R",3.9,"tbuooh","medial_axis"
"92",1.29897402266924,-0.00974537940394,"1","R",3.9,"tbuooh","medial_axis"
"93",1.31376602410257,0.030948340127692,"1","R",3.9,"tbuooh","medial_axis"
"94",1.35399785355731,0.000901050432923,"1","R",3.9,"tbuooh","medial_axis"
"95",1.29422301020381,0.02967813118662,"1","R",3.9,"tbuooh","medial_axis"
"96",1.34949021032846,-0.014010882694229,"1","R",3.9,"tbuooh","medial_axis"
"97",1.30551980726154,0.013894766758836,"1","R",3.9,"tbuooh","medial_axis"
"98",1.3420433285865,-0.034172166635011,"1","R",3.9,"tbuooh","medial_axis"
"99",1.34205392388089,0.01669581550863,"1","R",3.9,"tbuooh","medial_axis"
"100",1.28760880040317,-0.046120988984804,"1","R",3.9,"tbuooh","medial_axis"
"101",1.29138089009673,0.031608993249996,"1","R",3.9,"tbuooh","medial_axis"
"102",1.29178656921494,-0.02600714477859,"1","R",3.9,"tbuooh","medial_axis"
"103",1.35341342901013,-0.034215455607175,"1","R",3.9,"tbuooh","medial_axis"
"104",1.34579510139023,0.028927469055045,"1","R",3.9,"tbuooh","medial_axis"
"105",1.28501829472164,0.028689346749115,"1","R",3.9,"tbuooh","medial_axis"
"106",1.30228586632708,0.03722107710743,"1","R",3.9,"tbuooh","medial_axis"
"107",1.31428187813027,-0.028494250671693,"1","R",3.9,"tbuooh","medial_axis"
"108",1.33849432398181,-0.01415609015786,"1","R",3.9,"tbuooh","medial_axis"
"109",1.32503424713333,0.007051439004081,"1","R",3.9,"tbuooh","medial_axis"
"110",1.33218451761686,0.016024004670764,"1","R",3.9,"tbuooh","medial_axis"
"111",1.29991405125368,-0.006567182341958,"1","R",3.9,"tbuooh","medial_axis"
"112",1.29537624776521,-0.021965678755764,"1","R",3.9,"tbuooh","medial_axis"
"113",1.30702964096275,0.003037379379085,"1","R",3.9,"tbuooh","medial_axis"
"114",1.33601814654237,0.016644876171821,"1","R",3.9,"tbuooh","medial_axis"
"115",1.28461781975632,-0.009094577852749,"1","R",3.9,"tbuooh","medial_axis"
"116",1.31415550451356,0.001208141524768,"1","R",3.9,"tbuooh","medial_axis"
"117",1.34160385088081,-0.003136677927166,"1","R",3.9,"tbuooh","medial_axis"
"118",1.34411332425647,0.005787192343016,"1","R",3.9,"tbuooh","medial_axis"
"119",1.33991249837144,-0.004749847150449,"1","R",3.9,"tbuooh","medial_axis"
"120",1.35405030276965,0.027995153201227,"1","R",3.9,"tbuooh","medial_axis"
"121",1.29145024377081,-0.014402091039373,"1","R",3.9,"tbuooh","medial_axis"
"122",1.29246221376847,-0.007834154649272,"1","R",3.9,"tbuooh","medial_axis"
"123",1.31301885559159,-0.003092583340237,"1","R",3.9,"tbuooh","medial_axis"
"124",1.28540543219779,-0.022160397753947,"1","R",3.9,"tbuooh","medial_axis"
"125",1.33409731043946,-0.003333045140038,"1","R",3.9,"tbuooh","medial_axis"
"126",1.29646926498035,-0.007663762497628,"1","R",3.9,"tbuooh","medial_axis"
"127",1.34480179953186,0.016277170138376,"1","R",3.9,"tbuooh","medial_axis"
"128",1.33112763545644,0.015433844053714,"1","R",3.9,"tbuooh","medial_axis"
"129",1.30648728415076,0.021643000678805,"1","R",3.9,"tbuooh","medial_axis"
"130",1.32825658832647,0.003629462712063,"1","R",3.9,"tbuooh","medial_axis"
"131",1.34222156654573,-0.049828178926736,"1","R",3.9,"tbuooh","medial_axis"
