Lambda_oxidized,oxidized,Lambda_reduced,reduced
369.1710452,640.5422639,370.651686,443.833852
369.7051472,649.5332347,371.1865531,449.8291078
370.2397592,656.5270622,371.7214202,455.8243636
370.7743713,663.5208897,372.0777432,460.8197725
371.3082181,673.5104321,372.7911544,467.8148753
372.0206091,684.4998215,373.3260215,473.8101311
372.3761669,692.4909453,373.8606336,480.8039586
372.910779,699.4847727,374.2172117,484.8007958
373.6231699,710.4741621,374.9306229,491.7958986
374.158037,716.4694179,375.4660001,495.7940111
374.5135949,724.4605418,376.0006122,502.7878386
374.6911187,729.4546753,376.3566801,508.7818191
375.2254757,737.4470744,377.2488905,515.7781972
375.7598327,745.4394735,377.6054686,519.7750344
376.4727338,754.4317196,378.3191348,525.7715656
377.5429781,764.425088,379.5674132,538.7619242
378.4344233,774.417181,380.2815896,542.761312
378.7902362,781.4097332,380.8164567,548.7565679
379.3253584,786.4064174,381.5301229,554.753099
379.6816814,791.4018263,382.0649901,560.7483548
380.3953477,797.3983574,382.9574555,566.7461613
380.7514156,803.3923379,383.6713768,571.7441208
381.643881,809.3901444,384.02821,574.7423864
382.5358364,817.3850941,384.7426414,577.7432026
383.2497577,822.3830536,385.4570729,580.7440188
383.6060807,827.3784625,386.1715044,583.744835
384.3202571,831.3778503,387.2435342,586.7482018
385.2127225,837.3756568,388.4943631,589.752844
385.7473346,844.3694843,389.3878488,591.7563638
386.6400551,849.3687191,390.4598786,594.7597307
387.5327756,854.3679539,391.1745651,596.7619752
388.2472071,857.3687701,392.2465949,599.765342
389.498036,860.3734122,392.7822272,602.7648829
390.0339234,862.3743815,393.4969137,604.7671275
391.4632964,866.3788706,394.3901444,607.769219
391.9994389,867.3812682,395.4624292,609.7740142
393.0717237,869.3860634,397.6082742,608.7907463
393.6081212,869.3898893,397.7875835,606.7948783
394.3230628,870.3935622,398.5032903,604.8028363
395.0382595,870.3986635,399.5768505,601.8147732
395.7537112,869.4051931,400.4716115,598.8254349
396.8270163,867.4157017,401.008264,597.8306892
397.542468,866.4222313,401.0085191,596.8321175
397.7215222,865.424935,401.1875733,595.8348212
397.7227975,860.4320767,401.724736,592.8429322
397.9018518,859.4347804,402.0828445,590.8483395
397.9021068,858.4362087,403.1569148,585.8631332
398.2604703,855.4430444,404.2314952,578.8807836
398.6188339,852.4498801,404.7689129,574.8903229
398.7981431,850.4540121,405.8429832,569.9051166
398.9771974,849.4567158,406.3798908,567.9117992
399.3355609,846.4635515,407.4542162,561.9280212
399.8727236,843.4716625,408.5287966,554.9456716
400.2313421,839.4799265,409.0659593,551.9537826
400.9478141,834.4921696,409.2457787,547.9607713
401.1271234,832.4963016,409.425088,545.9649033
401.3061776,831.4990053,409.6041422,544.967607
401.6653063,825.510126,409.7829414,544.9688823
401.8443606,824.5128297,409.9630159,539.9772994
402.02418,820.5198184,410.5006887,534.9882671
402.5618528,815.5307861,411.2171606,530.0005101
403.0995256,810.5417538,411.7550885,524.0129062
403.2796001,805.5501709,412.1139621,519.0225986
403.6382186,801.5584349,412.2930164,518.0253022
403.8182931,796.566852,413.0097434,512.0389736
403.9978575,793.5724124,413.7264704,506.052645
404.1776769,789.5794011,414.2641432,501.0636127
404.5362955,785.5876652,414.801561,497.0731521
404.5365505,784.5890935,414.9806152,496.0758557
405.2532776,778.6027649,415.3389787,493.0826914
405.6118961,774.6110289,415.8761414,490.0908024
405.7917156,770.6180177,416.4138142,485.1017701
406.5084426,764.631689,417.1315615,475.1211549
406.8668061,761.6385247,417.4896699,473.1265623
407.0468806,756.6469418,418.206652,466.141662
407.4057542,751.6566342,418.3862164,463.1472224
407.7641177,748.6634699,418.5662909,458.1556394
408.1235015,741.676019,418.7458552,455.1611998
408.303576,736.6844361,419.1042187,452.1680355
408.4833954,732.6914248,419.4630924,447.1777279
408.842269,727.7011172,420.1800745,440.1928276
409.3801969,721.7135132,420.3593838,438.1969596
409.7393256,715.724634,420.7177473,435.2037953
409.9196552,709.7344794,421.255165,431.2133347
410.0997296,704.7428965,421.4349844,427.2203234
410.4586033,699.7525889,422.1519665,420.2354231
410.8172219,695.7608529,422.6898944,414.2478192
410.8184972,690.7679947,423.2275672,409.2587869
410.9983166,686.7749834,424.3034229,397.283579
411.178136,682.7819721,425.020405,390.2986788
411.5367546,678.7902362,425.3792787,385.3083712
412.0744274,673.8012039,425.5596082,379.3182166
412.433046,669.8094679,426.0977912,372.332041
412.6128654,665.8164567,426.635719,366.3444371
412.9725042,657.8304341,427.3532112,357.3623935
413.3313779,652.8401265,427.8921594,347.380503
413.6910167,644.854104,428.6086313,342.392746
413.6920369,640.8598174,429.3253584,336.4064174
413.8723665,634.8696628,429.8630312,331.4173851
413.8738969,628.8782329,430.0433607,325.4272305
414.0542264,622.8880784,430.2234352,320.4356476
414.412845,618.8963424,430.7608529,316.445187
414.5934296,611.9076162,431.4773249,311.45743
414.773249,607.9146049,432.0152528,305.469826
414.9533235,602.923022,432.194307,304.4725297
415.4915064,595.9368464,432.3733612,303.4752334
415.6713258,591.9438351,432.5531806,299.4822221
415.8514003,586.9522522,432.7322349,298.4849258
416.3895832,579.9660766,434.1649237,289.5079835
416.5696577,574.9744937,434.343978,288.5106871
416.7494771,570.9814824,434.5235423,285.5162475
417.287405,564.9938785,435.0604499,283.5229302
417.8255879,558.0077029,435.9549559,281.5321634
