Lambda_230,-230 mv,Lambda_310,-310 mv
447.3986062,11.78063531,462.8141514,74.43638661
447.5637845,12.01912383,462.9786716,74.9129688
448.0596485,12.61554255,463.8039051,76.34350507
448.3909922,12.73537909,464.1342617,76.82048211
448.5564995,12.85482077,464.6301256,77.41690083
449.0533506,13.09409899,464.9598242,78.13197154
449.2181999,13.45163434,465.6205374,79.08592562
449.8808874,13.69130741,466.1160723,79.80139118
450.3777384,13.93058563,466.4460999,80.39741506
450.7090822,14.05042216,467.1064841,81.47041597
451.536948,14.52858374,467.6013609,82.4239752
452.033141,15.00595563,467.9310594,83.13904591
452.8600196,15.84125772,468.2617451,83.49697612
453.1910343,16.08014109,468.9231164,84.21283653
453.6878854,16.31941931,469.4189804,84.80925525
454.018571,16.67734951,469.7490079,85.40527913
454.6806004,17.15511625,470.4103793,86.12113953
454.8454497,17.51265161,471.0714215,86.95604678
455.3423008,17.75192982,471.7334509,87.43381351
455.8394809,17.8721612,472.5606586,88.15006877
456.0046592,18.11064972,473.2220299,88.86592918
456.3356739,18.34953309,474.0489086,89.70123127
456.5008522,18.58802161,474.710938,90.17899801
456.9973743,18.94634666,475.2068019,90.77541673
457.328718,19.0661832,476.3656824,91.49246168
457.82524,19.42450825,477.1928901,92.20871694
458.1552676,20.02053212,478.0207559,92.68687852
458.817626,20.37925203,478.6824562,93.2836921
459.4796554,20.85701876,479.5093349,94.11899419
459.810012,21.3339958,480.0055279,94.59636608
460.306205,21.81136769,480.8340517,94.83643399
460.8027271,22.16969274,481.8280829,95.19594359
461.1337418,22.40857611,482.4897833,95.79275716
461.7954421,23.00538968,483.3163329,96.74710609
461.9602914,23.36292504,483.8118678,97.46257165
462.2913061,23.60180841,484.3080608,97.93994354
462.6223208,23.84069177,485.4675994,98.41889482
463.1188428,24.19901683,486.1296288,98.89666156
463.4491994,24.67599387,486.6264799,99.13593977
464.1112288,25.1537606,487.7863475,99.49584422
464.6070928,25.75017933,488.449364,99.61647045
465.1026277,26.46564489,489.612522,98.78590654
465.763999,27.18150529,489.7786874,98.66725455
466.2592049,28.01601769,491.1070237,98.07517916
466.5898906,28.37394789,491.4393546,97.83787519
466.9202472,28.85092493,491.60552,97.7192232
467.4167692,29.20924999,492.1073067,96.17279888
468.244306,29.80645841,492.2738011,95.93510006
468.5746626,30.28343545,492.606132,95.69779609
468.9060063,30.40327198,492.7719684,95.69819094
469.4028574,30.6425502,492.7726265,95.46009726
469.7338721,30.88143356,492.9387919,95.34144528
469.8993794,31.00087525,493.2714518,94.98509447
470.2307232,31.12071178,493.4389334,94.39025514
470.5617379,31.35959515,493.4428819,92.96169311
471.3886165,32.19489724,493.6050988,94.27160315
472.2161533,32.79210566,493.6070731,93.55732214
472.7123463,33.26947755,493.9423653,92.24859664
472.8778536,33.38891923,494.1095178,91.77280415
474.3690649,33.86866021,494.2769994,91.17796482
475.3640833,33.8710293,494.4438229,90.82121916
475.5295906,33.99047099,494.7764828,90.46486835
