L7.4,V7.4,L7.0,V7.0,L6.6,V6.6,L6.2,V6.2,L5.8,V5.8
363.398801142614,499.310596506529,370.342259887848,580.640996513079,358.59243089741,360.308604277213,362.790382302463,390.931659604871,359.123238222645,319.03706431365
363.402958902342,502.06511232612,370.645776347969,585.254954877552,358.597974577047,363.981292036668,362.855058564893,401.035400720898,359.128781902281,322.709752073105
363.706475362463,506.679070690593,371.25419518812,595.401043546361,358.609061936321,371.326667555578,362.945605332296,395.534068636767,359.185142645257,327.30446154995
364.162443012599,514.059094207234,371.708776918347,601.862895123139,358.949536260688,367.680928238802,363.246349952599,398.311683121512,359.563960753779,316.317196491789
364.314894202614,516.825159359402,372.468261028604,613.856877004252,358.960623619962,375.026303757713,363.250507712327,401.066198941104,359.569504433416,319.989884251245
364.615638822916,519.602773844147,372.770391568816,617.552663428861,359.040083028091,362.179596154671,363.404344822251,404.750436033136,359.721955623431,322.755949403413
364.619796582644,522.357289663738,373.072522109028,621.24844985347,359.265525999992,380.558434062049,363.409888501888,408.423123792591,359.727499303068,326.428637162868
364.923313042765,526.971248028211,373.37465264924,624.944236278079,359.340827648393,364.957210639416,363.761450185529,412.122759994725,359.733042982705,330.101324922323
365.380666612811,535.269443484716,373.67955502927,630.476366582416,359.492585878454,367.264189821653,363.853382872841,407.539599850458,359.78940372568,334.696034399168
365.534503722735,538.953680576748,373.987229249119,637.84484076648,359.497436598136,370.477791611176,364.01692142213,417.651040521536,360.169607754112,324.626941280871
365.835248343037,541.731295061493,374.28935978933,641.540627191089,359.553797341111,375.072501088021,364.155513413053,411.235386275067,360.17376551384,327.381457100463
365.839406102765,544.485810881085,374.594262169361,647.072757495425,359.809268577713,380.600781614831,364.15967117278,413.989902094658,360.326216703855,330.147522252631
366.144308482795,550.017941185421,375.503425629815,659.99646064898,359.814812257349,384.273469374286,364.319051962342,421.346826946145,360.331760383492,333.820210012086
366.447824942916,554.631899549894,375.808328009845,665.528590953316,359.820355936986,387.946157133742,364.461801712992,417.685688519267,360.337304063129,337.492897771541
366.754113242856,561.082201794094,376.113230389875,671.060721257653,359.947860568635,374.185127368362,364.621182502553,425.042613370754,360.393664806104,342.087607248386
367.211466812901,569.380397250599,377.022393850329,683.984424411207,359.952018328363,376.939643187953,364.763932253204,421.381474943876,360.771096994717,330.182170250361
367.363918002916,572.146462402767,377.32591031045,688.59838277568,360.122486477198,391.641943558351,364.972744186194,428.742249572889,360.775254754445,332.936686069953
367.667434463037,576.76042076724,377.626654930752,691.375997260425,360.403135258817,381.106064915071,365.064676873506,424.159089428621,360.929091864369,336.620923161985
367.972336843068,582.292551071576,378.233687850994,700.60391398937,360.407985978499,384.319666704594,365.228215422795,434.2705300997,360.934635544006,340.29361092144
368.281396982826,590.579197195504,378.538590231025,706.136044293707,360.413529658136,387.992354464049,365.366807413718,427.85487585323,360.940179223643,343.966298680895
368.583527523037,594.274983620113,378.840720771236,709.831830718316,360.42461701741,395.337729982959,365.370965173446,430.609391672821,360.94572290328,347.63898644035
368.885658063249,597.970770044722,378.876754688876,733.704301154774,360.430160697047,399.010417742415,365.579777106436,437.970166301834,361.297284586921,351.338622642485
369.196104122916,607.175588108514,379.145623151267,715.363961022652,360.765091341777,391.691990666184,365.671709793749,433.387006157566,361.378129914959,339.410086979307
369.505164262674,615.462234232442,379.483787609118,742.93221788372,360.851480349452,383.436142762461,365.884679486467,443.502296606171,361.382287674687,342.164602798898
369.808680722795,620.076192596915,379.899563581887,723.685255144311,360.85563810918,386.190658582052,366.126291523975,439.848857734344,361.58555592804,345.852689668456
370.109425343098,622.85380708166,380.082505009905,746.651102973483,361.020562578378,397.220271192995,366.189581866497,449.034426910507,361.602186966951,356.870752946821
370.414327723128,628.385937385996,380.354145312114,730.147106721088,361.026106258015,400.89295895245,366.429115024142,444.003730128885,361.841027164641,351.380970195267
370.719230103158,633.918067690333,380.384635550117,750.346889398092,361.031649937652,404.565646711905,366.445053103098,454.562707437318,361.985162835201,348.638003708252
371.02136064337,637.613854114942,380.656275852325,733.842893145697,361.159154569301,390.804616946525,366.582259174112,447.228881250985,362.143157704853,355.076756619876
371.025518403098,640.368369934533,380.986124790722,755.902118367582,361.312298719271,394.029768068625,366.785527427465,450.916968120542,362.14870138449,358.749444379331
371.327648943309,644.064156359142,381.108085742734,738.468400842747,361.333780477864,408.261433136514,366.796614786739,458.262343639453,362.154245064127,362.422132138786
371.635323163158,651.432630543206,381.288255330934,759.597904792191,361.46544286924,397.254919190725,367.050700103431,462.8724522264,362.287293375413,352.333790132861
371.936067783461,654.210245027951,381.559895633142,743.093908539796,361.61858701921,400.480070312826,367.107060846406,467.467161703244,362.456375604339,366.117918563395
372.239584243582,658.824203392424,381.590385871145,763.2936912168,361.634525098166,411.039047621259,367.182362494807,451.865938280611,362.588037995715,355.111404617606
372.541714783793,662.519989817033,382.311064223944,749.578858781728,361.674254802231,404.615693819738,367.334813684822,454.632003432779,362.741182145685,358.336555739707
372.846617163824,668.052120121369,382.764260034262,755.122538418641,361.690885841142,415.633757098104,367.340357364459,458.304691192235,362.796849928706,362.472179246619
372.852160843461,671.724807880825,383.245174242764,779.02965685283,362.071089869573,405.564663979807,367.642487904671,462.000477616843,362.80793728798,369.817554765529
373.152905463763,674.50242236557,384.118303785578,768.080889569926,362.075247629301,408.319179799399,367.648031584308,465.673165376299,363.19091315623,361.584805526961
373.455036003975,678.198208790179,384.146022183763,786.444328367202,362.227698819316,411.085244951567,367.653575263945,469.345853135754,363.344057306199,364.809956649061
373.460579683612,681.870896549634,384.86947237638,774.565839811857,362.233242498953,414.757932711022,367.659118943582,473.018540895209,363.348908025882,368.023558438584
373.761324303914,684.648511034379,385.351772504791,799.39113018591,362.23878617859,418.430620470477,367.786623575231,459.257511129829,363.354451705519,371.696246198039
374.217291954051,692.02853455102,385.470961616985,780.121068781347,362.295146921565,423.025329947322,368.010680627223,476.718177097343,363.359995385156,375.368933957494
374.673259604187,699.408558067661,385.953261745396,804.9463591554,362.550618158166,428.553610474132,368.091525955261,464.789641434166,363.662125925367,379.064720382103
