Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
39,5.9047091118,Cata,pm3,6952.1341394,6946.2294303,5.9047091118,6949.1817848,0.0008496985
39,-146.8687257,Cata,postPM3,3659.3032513,3806.171977,146.86872572,3732.7376141,0.0393461156
39,5.5643148745,Cata,medialAxis,6403.695545,6398.1312301,5.5643148745,6400.9133876,0.0008693001
39,-0.055377225,Cata,wholePharynx,6221.1245054,6221.1798826,0.0553772249,6221.152194,8.9014419e-6
40,-189.9074676,Cata,prePM7,4451.0847052,4640.9921728,189.90746761,4546.038439,0.0417742767
40,8.503142033,Cata,pm7,10521.161363,10512.658221,8.503142033,10516.909792,0.000808521
40,47.779328686,Cata,pm6,6948.0125593,6900.2332306,47.779328686,6924.1228949,0.006900416
40,5.3223023753,Cata,pm5,3977.6208758,3972.2985734,5.3223023753,3974.9597246,0.0013389576
40,81.887805378,Cata,pm4,8613.3607186,8531.4729132,81.887805378,8572.4168159,0.0095524759
40,35.218251401,Cata,pm3,6951.7055615,6916.4873101,35.218251401,6934.0964358,0.0050789965
40,-28.5279014,Cata,postPM3,3590.0963135,3618.6242149,28.5279014,3604.3602642,0.0079148307
40,17.393359843,Cata,medialAxis,6410.9802441,6393.5868843,17.393359843,6402.2835642,0.0027167431
40,12.052342852,Cata,wholePharynx,6224.2007863,6212.1484435,12.052342852,6218.1746149,0.0019382445
41,313.06390952,Cata,prePM7,4550.8794061,4237.8154965,313.06390952,4394.3474513,0.0712424115
41,633.99315741,Cata,pm7,10346.184268,9712.191111,633.99315741,10029.18769,0.0632148063
41,-88.86685319,Cata,pm6,6937.0227353,7025.8895885,88.866853187,6981.4561619,0.0127289853
41,25.630431736,Cata,pm5,3974.3199884,3948.6895566,25.630431736,3961.5047725,0.0064698727
41,-23.64013434,Cata,pm4,8511.4973482,8535.1374825,23.640134336,8523.3174154,0.0027735837
41,150.65849196,Cata,pm3,6937.6506277,6786.9921357,150.65849196,6862.3213817,0.02195445
41,-6.039757435,Cata,postPM3,3665.4776823,3671.5174398,6.0397574348,3668.4975611,0.0016463845
41,100.63836664,Cata,medialAxis,6374.7641078,6274.1257412,100.63836664,6324.4449245,0.0159126007
41,97.631751401,Cata,wholePharynx,6193.5113599,6095.8796085,97.631751401,6144.6954842,0.015888786
42,-105.7749693,Cata,prePM7,4615.4150435,4721.1900128,105.77496933,4668.3025282,0.0226581222
42,103.16088925,Cata,pm7,10673.494185,10570.333296,103.16088925,10621.91374,0.0097120812
42,-34.6772696,Cata,pm6,6818.9877888,6853.6650584,34.677269601,6836.3264236,0.0050725006
