baseline,tbp,t+10min,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
N,N,10,-0.010858784,-0.005161985,-0.006728408,-0.044143017,-0.048730283,-0.043339266,-0.027750563,-0.016633268,-0.01945878,-0.05262006,-0.046767973,-0.027571456,-0.02273735,-0.016207341,-0.015112887,-0.014954676,-0.024175917,-0.035365701,-0.027875071,-0.037514047,-0.022979688,-0.019468408,-0.023403103,-0.019895168,-0.0012292,-0.013064264,-0.022518137,-0.028831236,-0.033516381,-0.038816558,-0.022619751,-0.01437465,-0.018091786,-0.024730832,-0.001351873,-0.02336023,-0.016084841,-0.037493471,-0.023105657,-0.02007017,-0.027306171,-0.004914411,-0.012910629,-0.022108737,-0.015157327,-0.017440759,0.001765561,-0.010898946,-0.026801221,-0.030349333,-0.025075683,-0.029490552,-0.04160188,-0.026026842,0.012253019,-0.019968044,-0.016552876,-0.041531801,-0.035329208,-0.010307036,-0.020795553,-0.052790715,-0.025745069,-0.037052203
N,Y,16,0.049670565,0.026907889,0.017302536,0.024973315,0.018980511,0.004191001,0.005810174,0.046479276,0.044641916,-0.008675814,0.021717044,0.001160827,0.017566953,0.028815613,-0.003182173,0.004051279,0.021069646,0.032151445,0.012090118,-0.01593692,0.006285151,0.044689863,-0.000307789,0.013101685,0.030804423,0.016086625,0.000256139,0.013184008,0.030799698,0.018687515,0.033902522,-0.0152206,0.021128407,0.023814728,0.012417937,0.020734102,0.031274494,0.029854868,0.040514203,0.026716672,-0.003131527,0.000544765,0.038766109,0.032149623,0.010899897,-0.012173665,-0.008001245,0.009171205,0.028849773,0.03059294,0.041398856,-0.011307113,0.019022323,0.024678025,0.033996608,0.03772196,0.017891146,0.032083081,0.046621806,0.021323977,0.004725196,0.027219269,0.02892276,0.005227049
N,Y,16.5,0.00092978,0.019050648,0.01802596,0.014081771,0.019526595,0.008952893,0.011382089,0.00286815,-0.012092835,-0.011249726,0.004059457,0.024406389,0.017062814,0.003914022,0.003384609,0.036863658,-0.004452281,-0.016061604,0.00887939,0.03369937,-0.010221248,0.011892641,0.024798607,0.02380666,-0.006827597,0.028796596,0.026613996,0.035700447,0.011231831,0.00951606,0.015903618,0.034693214,0.010281458,0.022944383,0.026518269,0.028778327,0.035154346,0.021568379,-0.002009933,0.020203725,0.027587174,0.000765246,-0.016074355,-0.01023203,0.042799216,0.034631405,-0.002055742,0.012676919,0.006543664,0.011562763,0.001206174,0.037334324,-0.005697082,0.027113667,-0.002697039,0.013696228,-0.00424848,0.029790324,0.026395493,0.005943112,0.036698985,0.001431289,-0.014683437,0.013754571
N,Y,17,-0.01266009,-0.008666703,-0.003228789,0.029672043,-0.00589839,0.010183269,0.039866644,-0.010538823,-0.024227796,0.027896235,-0.000649649,0.004912021,0.013340434,0.011580727,0.00985268,0.026069763,0.036863574,0.041771423,-0.000415953,0.019885811,0.017238064,-0.002698596,-0.015745993,-0.002383012,0.023566471,0.029852499,0.00140343,-0.010876571,0.002087458,-0.005076049,-0.029069716,-0.012291112,0.014783284,-0.018866872,-0.007302024,-0.000435629,-0.024838494,0.004098051,0.02139094,-0.015515116,0.031749649,0.053012843,0.031703936,0.005944735,-0.009486259,0.00502887,0.036918745,-0.008714976,-0.000254934,0.022454477,-0.003882375,0.011717326,0.015598556,0.007719709,-0.021845308,-0.001642434,0.039484876,-0.001827654,-0.019960924,-0.004645731,0.016316044,0.020646792,0.016910152,-0.021913234
N,Y,17.5,0.029365993,-0.008014635,0.036874133,0.003589527,-0.020267704,0.027308343,-0.020399726,-0.006309579,0.032813128,0.016288558,0.021965608,0.036067571,0.023848195,0.030446357,-0.005483992,0.010253723,-0.015386394,-0.020921557,-0.007762654,0.013464344,0.030098256,-0.021148988,0.007256734,0.004630654,-0.013615388,-0.047146108,-0.021205945,-0.020664468,0.003777633,0.005485004,-0.003452685,0.044739444,-0.011182089,0.015357564,0.001803798,-0.021035595,-0.014494509,-0.003519053,-0.026913459,0.011606928,-0.011809931,0.009781814,-0.01514421,-0.015097859,-0.014880722,0.032996518,-0.005918855,0.024557331,-0.017793884,-0.006803424,0.000708659,-0.012869314,0.021384918,-0.012178509,0.004924077,-0.002829655,-0.00608155,-0.01559206,0.011596226,-0.017657812,-0.023469347,-0.020446205,-0.018627427,0.001360509
N,Y,18,0.014930272,-0.003947309,-0.01020074,-0.022460757,-0.020637691,-0.022311483,0.008191982,-0.023265591,-0.030984146,0.008178081,0.026227797,0.004799528,-0.020846025,0.015364842,-0.01478406,0.002583659,-0.012550222,0.022323767,0.011571252,-0.028212093,-0.017731046,0.03596605,0.038093208,0.003970503,-0.001476086,0.028551056,0.016495649,0.013223282,-0.013096409,0.006073189,0.025504911,-0.015615703,-0.005281425,-0.015142723,-0.001150686,-0.008594544,-0.016660476,0.018625079,-0.032386064,-0.029331215,0.00919471,0.013558735,0.015785906,0.025736856,-0.008321719,0.021565763,0.017977704,0.010578634,0.0065014,-0.008955984,-0.035596503,0.023264216,0.005126408,-0.015260247,-0.017513486,-0.041287677,-0.005696788,0.001000757,-0.029307047,0.022071223,0.011040753,0.011771912,0.032006134,0.025925914
N,Y,18.5,-0.032978254,-0.036819215,-0.016819474,-0.026885586,0.026990243,-0.009373685,-0.029478138,-0.006621102,0.023950621,-0.008763024,-0.00044026,-0.007860597,0.003773957,-0.018163327,0.024784541,-0.035840913,0.017085561,-0.018455804,-0.019496435,0.019077221,0.009592524,-0.019896904,-0.02000688,0.002473748,0.001388003,-0.016985655,0.023523284,0.02853652,0.004759798,0.003123124,-0.003088831,-0.031314704,-0.015506671,0.010213843,0.01190542,-0.001327847,-0.013201146,-0.029762745,0.017247732,-0.003467012,0.017313462,-0.002699646,-0.003123883,-0.00636877,0.025616769,-0.019338729,-0.01975053,-0.000956936,0.016385032,-0.024214521,0.005712347,0.013316903,-0.001599103,-0.000751125,0.002322317,0.016735423,0.014184556,0.019883205,-0.023759049,0.002660647,-0.033345518,-0.012565383,0.004604019,0.018427371
N,Y,19,0.003849116,0.029595238,-0.019235945,0.015151522,0.013451156,-0.012432103,0.039432795,-0.034569302,-0.029441334,0.019854607,-0.029928624,-0.020198627,-0.022282856,-0.024296757,0.017358136,0.006154864,-0.036354779,0.025649072,0.035357538,-0.008406372,0.010857282,-0.007905557,0.002487514,-0.028129836,-0.006763029,0.011331123,-0.03604485,0.004396608,-0.01340665,0.010292492,0.021482814,0.008181563,0.003807746,0.009412795,-0.003983428,0.003014671,0.007696245,0.002250633,-0.002353663,0.01540221,-0.01994443,-0.008532903,-0.017889637,-0.00802337,-0.005814694,-0.014250905,0.005128393,-0.025632665,0.000933971,0.009782012,0.015470157,-0.023418668,0.004098332,0.021709735,0.009671053,0.019595819,-0.011812881,-0.028723033,0.033161971,-0.017365532,0.02361677,0.01739526,-0.030939553,0.010288189
N,Y,19.5,-0.032552369,0.015591765,-0.015042827,0.01379289,0.000612988,0.030567984,-0.010352776,0.028276178,0.016704414,-0.00350009,-0.007988426,0.007235091,-0.016950553,-0.037238302,-0.0042828,-0.019423116,0.016933884,-0.015772669,-0.023452641,-0.021648939,-0.022954238,-0.009549256,-0.034770908,0.006541641,0.026086279,-0.001161694,0.017994347,-0.029434122,-0.006405747,-0.004394495,-0.035937052,0.023592224,-0.003100366,0.017361669,-0.006257197,0.020307502,0.027533967,0.014947508,-0.002119299,0.013984473,-0.027426321,-0.01928252,-0.014682084,0.017200481,-0.018950659,-0.016764331,-0.024663106,-0.010179839,-0.014889896,0.009564082,0.02655908,0.009725152,-0.011511777,-0.009505095,0.016515744,-0.036524635,-0.024399687,-0.002330649,0.010663726,0.024622131,-0.012417109,-0.004225895,0.001359116,-0.034480319
N,Y,20,0.013509597,-0.023942527,-0.014915634,-0.000664248,-0.005349638,-0.010315412,-0.029694426,0.040212265,0.036843126,-0.022698365,0.009157638,0.024466563,-0.012100939,0.015645365,0.006714801,0.00523412,0.001045179,-0.016440578,0.013241374,0.002510985,0.028812002,0.004459325,0.01963334,-0.002881393,-0.02334738,-0.013251327,0.000391063,-0.020327302,-0.002213208,0.009990477,0.001860162,-0.017280683,0.024405005,-0.009036772,-0.010855601,-0.021240934,-0.022370998,-0.011583499,0.019996635,0.006743419,-0.007565864,-0.006036155,-0.000378295,-0.009895927,-0.006534009,-0.016703143,0.002856588,-0.008639774,0.002111447,-0.000239556,0.002309719,-0.017983172,-0.017932402,0.017083192,0.012842622,0.023660942,-0.018849553,-0.003765356,-0.022313419,-0.008402674,-0.025638879,-0.004643576,-0.00847832,0.029222811
N,Y,20.5,-0.017594232,-0.005907076,0.017958084,-0.069656862,-0.019285995,0.024244983,0.01545871,-0.021977634,-0.020777306,0.014204863,0.015203781,-0.038005214,-0.008246266,-0.009154921,-0.03669569,0.017108111,-0.030933079,-0.033241805,0.017571188,0.00192818,0.000501062,-0.032464187,-0.019717214,0.000937132,0.006990048,0.002830908,0.011467479,0.007498439,0.013104879,-0.015054451,0.023483548,0.026859254,0.002981354,-0.031210208,-0.00377068,0.006406641,0.022648811,-0.031891415,-0.003418023,-0.010320294,0.02333161,-0.026737036,-0.003474422,0.019164349,0.019126645,0.00681458,-0.02578038,0.008447184,0.010266456,-0.024474249,-0.01812531,-0.027082396,0.003364864,-0.049594044,-0.01575796,0.015992931,0.024544805,-0.027453123,-0.015016468,-0.025580181,0.029087719,-0.027459751,0.03552923,0.020714014
