Lambda_9.0,9,Lambda_8.5,8.5,Lambda_8.0,8.0,Lambda_7.5,7.5,Lambda_7.0,7.0,Lambda_6.5,6.5,Lambda_6.0,6.0,Lambda_5.5,5.5
437.916689930813,0.796300788760541,441.59379792811,0.724443939921523,442.405897853377,0.557610695543386,442.474382692686,0.378356120085386,442.433456879668,0.244528711516785,442.41513043933,0.184601251611998,443.270070673275,0.157855816610077,442.402242276519,0.142456959218699
439.273040740012,0.796367934840204,442.949704796286,0.723059398857391,443.761950389701,0.556702489323312,443.830733501885,0.378423266165049,443.790390361459,0.246501196972679,443.772188779534,0.186982024077084,444.627309364519,0.160826336977331,443.759425475135,0.145246018692978
440.629197325013,0.795799967794457,444.305209342911,0.720359266319195,445.117746272621,0.554955026473231,445.187084311084,0.378490412244712,445.147261414044,0.248269538923977,445.129226310002,0.189294748707305,445.984548055762,0.163796857344584,445.116608673751,0.148035078167257
441.98514581266,0.794551522400056,445.56478948723,0.717586338243532,446.473209199775,0.552118798265305,446.543435120282,0.378557558324376,446.504083910579,0.249879102593922,446.486201411263,0.19140332983293,447.341745127535,0.166631282042107,446.473819618681,0.150914868088023
443.340837646903,0.792463820375649,446.617779056212,0.711262228816253,447.773085855298,0.548955461826109,447.899785929481,0.378624704404039,447.860857851064,0.251329887982515,447.843238941731,0.193716054463151,448.698942199308,0.169465706739629,447.830940388091,0.153499784057706
444.696127159595,0.789060526877177,447.761430669311,0.707403003648585,448.992443401511,0.544574637942258,449.25613673868,0.378691850483702,449.217520806295,0.252417751585159,449.20036664772,0.196323653044456,450.056069905297,0.172073305320934,449.188102776971,0.156220795697119
445.942598893402,0.785587802308485,448.606822702981,0.699834953749262,450.214554659855,0.541771084304709,450.612321069995,0.378214613884443,450.574100522583,0.253233423848342,450.557431924501,0.198727108121164,451.413183738128,0.174635538678995,450.545202736645,0.158737663831936
446.897778806858,0.778296707545901,449.730975883003,0.69661585242154,451.35533924512,0.537231414964219,451.967874172669,0.375673259627599,451.93068717545,0.254071778723146,451.91455963049,0.201334706702469,452.770255951488,0.177061676367325,451.90230269632,0.161254531966754
448.038721632628,0.775344453696274,450.576568210377,0.689702762932796,452.603445112258,0.533990232086355,453.32339259245,0.373018492312647,453.287058794384,0.254206972637675,453.271687336478,0.203942305283773,454.127272672221,0.179306353162681,453.259333290209,0.163544573985353
448.617507758921,0.767175086672823,451.738545777036,0.686822037486643,453.893877946497,0.529705600048446,454.678911012231,0.370363724997695,454.643465096211,0.254455579610313,454.628662437739,0.206050886409398,455.484247773482,0.181414934288306,454.61635694752,0.165811933392331
449.752341180567,0.764800375456073,452.879217916713,0.681914671073548,455.123966511741,0.52649520839326,456.034367002806,0.367504814178146,455.999746539625,0.254295899573758,455.985491870853,0.207683132690966,456.841181255273,0.1833874197442,455.973373668253,0.168056610187687
