,,,,,
493.5,70.27,109.22,129.07,153.38,168.97
494,68.51,105.53,124.84,147.07,161.81
494.5,66.808,101.71,120.77,141.14,154.74
495,64.983,97.562,115.45,134.26,147.15
495.5,62.927,92.892,109,126.68,138.7
496,60.56,88.169,102.64,119.45,130.86
496.5,58.338,83.897,97.483,113.54,124.12
497,56.267,80.267,93.149,108.14,118.09
497.5,54.4,76.674,88.902,102.54,111.98
498,52.456,73.044,84.253,96.633,105.94
498.5,50.613,69.624,79.875,91.436,100.46
499,48.99,66.877,76.424,87.381,95.844
499.5,47.764,64.54,73.902,84.436,91.845
500,46.788,62.274,71.939,82.18,88.045
